name,version
AuditPolicyDsc,1.1.0.0
Az,6.5.0
Az.Accounts,2.6.0
Az.Advisor,1.1.1
Az.Aks,2.4.0
Az.AnalysisServices,1.1.4
Az.ApiManagement,2.3.0
Az.AppConfiguration,1.0.0
Az.ApplicationInsights,1.2.0
Az.Attestation,1.0.0
Az.Automation,1.7.1
Az.Batch,3.1.0
Az.Billing,2.0.0
Az.Cdn,1.8.1
Az.CognitiveServices,1.9.0
Az.Compute,4.17.1
Az.ContainerInstance,2.1.0
Az.ContainerRegistry,2.2.3
Az.CosmosDB,1.3.1
Az.DataBoxEdge,1.1.0
Az.Databricks,1.1.0
Az.DataFactory,1.15.0
Az.DataLakeAnalytics,1.0.2
Az.DataLakeStore,1.3.0
Az.DataShare,1.0.0
Az.DeploymentManager,1.1.0
Az.DesktopVirtualization,3.0.0
Az.DevTestLabs,1.0.2
Az.Dns,1.1.2
Az.EventGrid,1.3.0
Az.EventHub,1.8.0
Az.FrontDoor,1.9.0
Az.Functions,3.1.0
Az.HDInsight,4.3.0
Az.HealthcareApis,1.3.1
Az.IotHub,2.7.3
Az.KeyVault,3.6.0
Az.Kusto,2.0.0
Az.LogicApp,1.5.0
Az.MachineLearning,1.1.3
Az.Maintenance,1.2.0
Az.ManagedServices,2.0.0
Az.MarketplaceOrdering,1.0.2
Az.Media,1.1.1
Az.Migrate,1.1.1
Az.Monitor,2.7.0
Az.Network,4.12.0
Az.NotificationHubs,1.1.1
Az.OperationalInsights,2.3.0
Az.PolicyInsights,1.4.1
Az.PowerBIEmbedded,1.1.2
Az.PrivateDns,1.0.3
Az.RecoveryServices,4.7.0
Az.RedisCache,1.5.0
Az.RedisEnterpriseCache,1.0.0
Az.Relay,1.0.3
Az.ResourceMover,1.0.0
Az.Resources,4.4.0
Az.Security,1.0.0
Az.SecurityInsights,1.1.0
Az.ServiceBus,1.5.0
Az.ServiceFabric,3.0.1
Az.SignalR,1.3.0
Az.Sql,3.5.1
Az.SqlVirtualMachine,1.1.0
Az.Storage,3.12.0
Az.StorageSync,1.6.1
Az.StreamAnalytics,2.0.0
Az.Support,1.0.0
Az.TrafficManager,1.0.4
Az.Websites,2.8.3
Azure,1.0.3
Azure.Storage,1.0.3
AzureRM.Automation,1.0.3
AzureRM.Compute,1.2.1
AzureRM.Profile,1.0.3
AzureRM.Resources,1.0.3
AzureRM.Sql,1.0.3
AzureRM.Storage,1.0.3
ComputerManagementDsc,5.0.0.0
GPRegistryPolicyParser,0.2
Microsoft.PowerShell.Core,0.0
Microsoft.PowerShell.Diagnostics,0.0
Microsoft.PowerShell.Management,0.0
Microsoft.PowerShell.Security,0.0
Microsoft.PowerShell.Utility,0.0
Microsoft.WSMan.Management,0.0
Orchestrator.AssetManagement.Cmdlets,1.0
PSDscResources,2.9.0.0
SecurityPolicyDsc,2.1.0.0
StateConfigCompositeResources,1.0
xDSCDomainjoin,1.1
xPowerShellExecutionPolicy,1.1.0.0
xRemoteDesktopAdmin,1.1.0.0